829	NM_032454	chr6	+	32089495	32089939	32089495	32089542	1	32089495,	32089939,	0	STK19	incmpl	cmpl	1,
1611	NM_001143678	chr6	-	134532076	134538763	134533098	134538492	12	134532076,134533656,134533853,134534467,134535023,134535492,134535853,134536104,134536292,134536835,134537341,134538374,	134533266,134533746,134534009,134534563,134535147,134535605,134535985,134536188,134536397,134536911,134537417,134538763,	0	SGK1	cmpl	cmpl	0,0,0,0,2,0,0,0,0,2,1,0,
2	NM_001199942	chr6	+	83834103	83934909	83863415	83934605	40	83834103,83863168,83863362,83867142,83875347,83876562,83879760,83885325,83886212,83887120,83888367,83889300,83891142,83891603,83891937,83895324,83896560,83898613,83900624,83902056,83903610,83906437,83906658,83908358,83911961,83913673,83915196,83918030,83918320,83918725,83919948,83920331,83920617,83922388,83923619,83925004,83926233,83929227,83931097,83934299,	83834217,83863261,83863553,83867324,83875518,83876752,83879859,83885425,83886295,83887229,83888488,83889420,83891257,83891633,83892171,83895946,83896835,83898766,83900725,83902316,83905600,83906549,83906841,83908484,83912096,83913729,83915301,83918097,83918465,83918805,83920058,83920481,83920679,83922541,83923756,83925060,83926398,83929357,83931157,83934909,	0	DOP1A	cmpl	cmpl	-1,-1,0,0,2,2,0,0,1,0,1,2,2,0,0,0,1,0,0,2,1,2,0,0,0,0,2,2,0,1,0,2,2,1,1,0,2,2,0,0,
839	NM_001141970	chr6	-	33394312	33398771	33394497	33398669	8	33394312,33394751,33395134,33395765,33396134,33396490,33397473,33398616,	33394557,33394974,33395609,33395979,33396346,33397322,33397663,33398771,	0	DAXX	cmpl	cmpl	0,2,1,0,1,0,2,0,
918	NM_001193343	chr6	-	43746911	43763527	43747613	43763494	5	43746911,43751208,43754232,43756803,43763382,	43747621,43751332,43754340,43756835,43763527,	0	MRPS18A	cmpl	cmpl	1,0,0,1,0,
218	NM_182961	chr6	-	152484511	153000227	152485263	152991159	146	152484511,152493547,152494949,152496103,152497931,152499445,152502777,152504030,152506450,152510872,152512304,152514380,152514786,152517719,152518737,152526990,152539221,152542963,152552079,152564651,152568995,152570799,152574321,152576439,152577733,152581084,152581830,152583669,152584253,152587321,152588548,152593374,152594218,152594943,152596608,152597495,152598934,152599644,152602360,152605067,152607364,152611988,152617707,152618418,152619461,152624859,152630883,152631982,152640916,152644634,152646805,152656415,152656787,152663468,152664696,152671316,152672662,152673223,152673515,152679676,152680908,152681690,152684065,152684548,152686305,152687911,152688785,152689123,152692557,152696835,152699668,152702068,152706908,152709886,152712995,152713445,152714854,152716090,152716416,152717486,152721200,152722142,152724997,152727674,152730045,152731799,152732298,152735864,152739208,152739603,152743833,152748501,152749899,152753107,152754104,152758343,152759602,152761446,152762443,152763965,152767040,152769841,152771895,152772386,152776179,152779214,152782396,152788208,152790520,152791032,152792939,152793309,152796622,152798768,152803957,152804902,152807238,152810285,152812360,152813452,152813874,152816413,152818253,152818713,152821584,152824424,152825565,152826180,152828085,152828809,152834424,152835128,152845912,152847662,152851223,152861569,152865460,152868028,152873020,152873838,152883286,152888907,152902787,152991092,152999465,153000016,	152485504,152493606,152495042,152496316,152498060,152499646,152502989,152504157,152506593,152511206,152512496,152514518,152514969,152517870,152518925,152527153,152539388,152543122,152552235,152564777,152569190,152571034,152574416,152576587,152577888,152581231,152582013,152583874,152584387,152587492,152588704,152593530,152594395,152595093,152596791,152597628,152599131,152599776,152602534,152605268,152607484,152612090,152617917,152618574,152619593,152625016,152630993,152632114,152641108,152644808,152647000,152656577,152656955,152663609,152664891,152671460,152672845,152673346,152673701,152679814,152681091,152681843,152684218,152684714,152686565,152688130,152688930,152689461,152694718,152697101,152699845,152702194,152707055,152710063,152713163,152713598,152715181,152716261,152716572,152717804,152721365,152722286,152725151,152727847,152730210,152731955,152732442,152736047,152739386,152739740,152744190,152748666,152750209,152753280,152754396,152758499,152759808,152761559,152762651,152764169,152767142,152770024,152772054,152772537,152776359,152779843,152782550,152788375,152790644,152791220,152793038,152793537,152796773,152798929,152804098,152805073,152807406,152810450,152812469,152813661,152814033,152816548,152818418,152818872,152821758,152824568,152825718,152826345,152828288,152828906,152834593,152835241,152846077,152847800,152851331,152861620,152865570,152868225,152873199,152873931,152883370,152889003,152902849,152991382,152999633,153000227,	0	SYNE1	cmpl	cmpl	2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,2,0,1,0,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,-1,-1,
840	NM_015921	chr6	-	33492296	33494043	33492404	33493423	5	33492296,33492674,33492851,33493005,33493235,	33492531,33492724,33492897,33493065,33494043,	0	CUTA	cmpl	cmpl	2,0,2,2,0,
1477	NM_001007464	chr6	+	116999222	117021457	117016715	117020957	8	116999222,117001913,117008150,117012582,117016697,117018127,117018743,117020835,	116999511,117002027,117008216,117012713,117016841,117018260,117018806,117021457,	0	RWDD1	cmpl	cmpl	-1,-1,-1,-1,0,0,1,1,
903	NM_001300806	chr6	+	41714172	41729960	41714465	41729291	4	41714172,41721841,41725334,41729034,	41714541,41722024,41725559,41729960,	0	MDFI	cmpl	cmpl	0,1,1,1,
903	NM_001300805	chr6	+	41714172	41729960	41714465	41729291	4	41714172,41714454,41725334,41729034,	41714368,41714541,41725559,41729960,	0	MDFI	cmpl	cmpl	-1,0,1,1,
862	NM_001010903	chr6	-	36391512	36412640	36393110	36406445	12	36391512,36395110,36396909,36398065,36399047,36399883,36401037,36402264,36402784,36404352,36405835,36412466,	36393146,36395365,36396974,36398197,36399288,36399945,36401169,36402508,36402849,36404469,36406449,36412640,	0	C6orf222	cmpl	cmpl	0,0,1,1,0,1,1,0,1,1,0,-1,
610	NM_030651	chr6_qbl_hap2	-	3331102	3334683	3331961	3334567	4	3331102,3332276,3333107,3334548,	3332138,3332462,3333646,3334683,	0	PRRT1	cmpl	cmpl	0,0,1,0,
1806	NM_001008897	chr6	-	160119519	160130725	160120066	160126430	11	160119519,160120648,160120916,160121464,160121956,160124962,160125687,160126407,160126921,160128764,160130426,	160120283,160120812,160121109,160121588,160122132,160125089,160125869,160126518,160127019,160128893,160130725,	0	TCP1	cmpl	cmpl	2,0,2,1,2,1,2,0,-1,-1,-1,
158	NM_002043	chr6	-	90020904	90081737	90024107	90081603	9	90020904,90030849,90032050,90034116,90034451,90035448,90038092,90066196,90081490,	90024419,90031046,90032203,90034257,90034534,90035672,90038160,90066303,90081737,	0	GABRR2	cmpl	cmpl	0,1,1,1,2,0,1,2,0,
200	NM_172105	chr6	+	133604187	133894951	133637611	133891636	20	133604187,133637546,133745222,133809460,133810941,133819386,133823944,133825165,133825451,133827609,133831396,133844293,133845862,133868936,133875551,133875708,133878151,133885886,133887845,133891555,	133604580,133637644,133745272,133809585,133811010,133819479,133824011,133825308,133825595,133827689,133831562,133844430,133845946,133869026,133875610,133875869,133878266,133886008,133887946,133894951,	0	EYA4	cmpl	cmpl	-1,0,0,2,1,1,1,2,1,1,0,1,0,0,0,2,1,2,1,0,
73	NR_104475	chr6	+	237056	296355	296355	296355	4	237056,290853,293102,293768,	237560,290928,293274,296355,	0	DUSP22	unk	unk	-1,-1,-1,-1,
787	NR_038992	chr6	-	26580150	26590716	26590716	26590716	4	26580150,26584358,26586041,26590678,	26580400,26585688,26587327,26590716,	0	LOC285819	unk	unk	-1,-1,-1,-1,
157	NR_146755	chr6	-	88280371	88356469	88356469	88356469	21	88280371,88281393,88283242,88284605,88285066,88285260,88286019,88286616,88287900,88290993,88295978,88297220,88301171,88308354,88312052,88315027,88321844,88329138,88330566,88335953,88356137,	88280936,88281457,88283317,88284701,88285176,88285328,88286144,88286693,88287961,88291089,88296085,88297379,88301295,88308431,88312136,88315083,88321942,88329222,88330669,88336027,88356469,	0	RARS2	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
830	NM_005155	chr6	+	32229753	32239436	32230349	32238705	9	32229753,32230341,32230784,32231442,32231625,32233391,32233594,32238322,32238561,	32230159,32230532,32230938,32231538,32231733,32233475,32233679,32238377,32239436,	0	PPT2	cmpl	cmpl	-1,0,0,1,1,1,1,2,0,
1151	NM_001123226	chr6	+	74228174	74267900	74228298	74267179	13	74228174,74232652,74232932,74239808,74246175,74246379,74247118,74247440,74248483,74248892,74258677,74264179,74267017,	74228515,74232852,74233050,74240098,74246288,74246570,74247249,74247560,74248688,74249064,74258796,74264340,74267900,	0	MTO1	cmpl	cmpl	0,1,0,1,0,2,1,0,0,1,2,1,0,
667	NM_001127711	chr6	+	10855977	10865200	10857464	10864737	5	10855977,10857420,10857840,10863360,10864685,	10856100,10857487,10857917,10863451,10865200,	0	TMEM14B	cmpl	cmpl	-1,0,2,1,2,
830	NM_004381	chr6	-	32191022	32203995	32191493	32203962	18	32191022,32192234,32192458,32192791,32193077,32193341,32193613,32194529,32194710,32195578,32196525,32196743,32197017,32201871,32202857,32203196,32203425,32203871,	32191723,32192319,32192570,32192862,32193159,32193449,32193793,32194621,32194896,32195712,32196657,32196879,32197103,32202007,32202949,32203275,32203505,32203995,	0	ATF6B	cmpl	cmpl	1,0,2,0,2,2,2,0,0,1,1,0,1,0,1,0,1,0,
611	NM_004381	chr6_cox_hap1	-	3490213	3503184	3490684	3503151	18	3490213,3491425,3491649,3491982,3492268,3492532,3492804,3493720,3493901,3494769,3495716,3495934,3496208,3501060,3502046,3502385,3502614,3503060,	3490914,3491510,3491761,3492053,3492350,3492640,3492984,3493812,3494087,3494903,3495848,3496070,3496294,3501196,3502138,3502464,3502694,3503184,	0	ATF6B	cmpl	cmpl	1,0,2,0,2,2,2,0,0,1,1,0,1,0,1,0,1,0,
15	NM_001144770	chr6	-	56430743	56824673	56431761	56824547	95	56430743,56432887,56435802,56436321,56438834,56441738,56442639,56442884,56443862,56444815,56446629,56448905,56450101,56454806,56455439,56458068,56459860,56462246,56464983,56465690,56466766,56470135,56470612,56473836,56474276,56476753,56479199,56479423,56481285,56482398,56483953,56488206,56489954,56490257,56499117,56500249,56501597,56502204,56502730,56505100,56507878,56509535,56524940,56528101,56530075,56533050,56534064,56534894,56541225,56542612,56544856,56545503,56546435,56551570,56564938,56566419,56570496,56571232,56572825,56583183,56584264,56587112,56597286,56597913,56599960,56600755,56602006,56603001,56603967,56604639,56605610,56606888,56607218,56607557,56608345,56609313,56612015,56612206,56612452,56612685,56612899,56614703,56615166,56618622,56618843,56621326,56623682,56623888,56643397,56672409,56674644,56677036,56707984,56824153,56824544,	56432024,56433011,56435913,56436521,56438952,56441756,56442714,56443039,56444025,56444979,56446759,56449094,56450245,56454935,56455634,56458228,56460030,56462366,56465190,56465846,56466937,56470264,56470810,56473992,56474450,56476855,56479301,56479546,56481512,56482630,56484157,56488425,56490062,56490377,56499324,56500491,56501682,56502531,56502890,56505267,56508049,56509697,56526412,56528597,56530275,56533180,56534306,56534957,56541352,56542769,56545023,56545821,56546644,56551694,56565115,56566950,56570763,56571466,56572978,56583319,56584353,56587241,56597385,56598021,56600044,56600918,56602200,56603140,56604146,56604797,56605794,56607015,56607373,56607710,56608471,56609409,56612120,56612368,56612530,56612814,56613362,56614858,56615260,56618750,56618939,56621446,56623789,56624001,56643564,56672502,56674722,56677126,56708046,56824361,56824673,	0	DST	cmpl	cmpl	1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,1,0,0,
