bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	id	name2	cdsStartStat	cdsEndStat	exonFrames
73	NM_020185	chr6	+	292100	351355	237539	295868	8	237100,249627,256879,280113,290853,293102,293768,295821,	237560,249661,256962,280163,290928,293274,293841,296355,	0	DUSP22	cmpl	cmpl	0,0,1,0,2,2,0,1,
587	NM_002460	chr6	+	391751	411443	338152	352598	9	336751,338097,339820,340846,342107,343827,346423,350017,352454,	336809,338368,340007,340935,342252,343935,346777,350130,356443,	0	IRF4	cmpl	cmpl	-1,0,0,1,0,1,1,1,0,
589	NM_148959	chr6	-	655938	656964	601107	601944	1	600938,	601964,	0	HUS1B	cmpl	cmpl	0,
73	NM_018303	chr6	-	485137	693109	431670	582818	28	430137,433978,436124,442366,444644,477468,494174,498853,500226,500953,501483,507783,509032,509544,509863,517519,521756,537468,543020,543859,544079,555097,562710,564429,574834,577940,582700,638018,	431764,434038,436186,442489,444700,477610,494291,498920,500288,501013,501564,507845,509154,509702,509929,517644,521882,537587,543123,543941,544225,555178,562835,564543,574961,578117,582861,638109,	0	EXOC2	cmpl	cmpl	2,2,0,0,1,0,0,2,0,0,0,1,2,0,0,1,1,2,1,0,1,1,2,2,1,1,0,-1,
73	NR_027115	chr6	-	961003	1101332	1046567	1046567	5	906241,907374,943600,950632,1044947,	906568,907528,943707,950763,1046567,	0	LOC285768	unk	unk	-1,-1,-1,-1,-1,
73	NR_027116	chr6	-	961003	1101332	1046567	1046567	4	906241,907374,950632,1044947,	906568,907528,950763,1046567,	0	LOC285768	unk	unk	-1,-1,-1,-1,
594	NM_033260	chr6	+	1312439	1314758	1257939	1259151	1	1257674,	1259993,	0	FOXQ1	cmpl	cmpl	0,
595	NM_001452	chr6	+	1389833	1395597	1335181	1340093	2	1335067,1339929,	1336352,1340831,	0	FOXF2	cmpl	cmpl	0,1,
596	NM_001453	chr6	+	1610445	1613894	1555679	1557341	1	1555679,	1559128,	0	FOXC1	cmpl	cmpl	0,
9	NM_001500	chr6	-	1623805	2245612	1569402	2190655	11	1569039,1569705,1671648,1687700,1875335,1905099,1906006,2061003,2062701,2069919,2190553,	1569465,1569774,1671745,1687819,1875463,1905204,1906199,2061113,2062789,2069964,2190845,	0	GMDS	cmpl	cmpl	0,0,2,0,1,1,0,1,0,0,0,
604	NM_152554	chr6	-	2622737	2635064	2568671	2569055	3	2567970,2578837,2579797,	2569352,2579025,2580297,	0	C6orf195	cmpl	cmpl	0,-1,-1,
75	NM_001012418	chr6	-	2663628	2750920	2616533	2694527	13	2608861,2616508,2620279,2623452,2624512,2625453,2628253,2630528,2630715,2634083,2638016,2694368,2695968,	2613132,2616581,2620358,2623605,2624641,2625524,2628395,2630638,2630809,2634189,2638092,2694639,2696153,	0	MYLK4	cmpl	cmpl	-1,0,2,2,2,0,2,0,2,1,0,0,-1,
605	NM_130395	chr6	+	2765431	2785745	2710855	2730515	7	2710664,2713923,2715427,2724495,2728638,2729556,2730239,	2711677,2714115,2715594,2724725,2728794,2729636,2730978,	0	WRNIP1	cmpl	cmpl	0,0,0,2,1,1,0,
605	NM_020135	chr6	+	2765431	2785745	2710855	2730515	7	2710664,2713923,2715352,2724495,2728638,2729556,2730239,	2711677,2714115,2715594,2724725,2728794,2729636,2730978,	0	WRNIP1	cmpl	cmpl	0,0,0,2,1,1,0,
606	NM_030666	chr6	-	2833499	2841847	2778840	2785819	7	2778732,2781088,2781340,2783114,2783781,2785651,2787044,	2779245,2781256,2781483,2783232,2783919,2785827,2787080,	0	SERPINB1	cmpl	cmpl	0,0,1,0,0,0,-1,
606	NM_004155	chr6	-	2887271	2903311	2835395	2845844	7	2832504,2837065,2838643,2840623,2841285,2845676,2848433,	2835803,2837221,2838786,2840741,2841423,2845854,2848544,	0	SERPINB9	cmpl	cmpl	0,0,1,0,0,0,-1,
607	NM_004568	chr6	-	2948158	2971856	2893530	2904565	7	2893391,2894146,2898276,2899824,2900756,2904400,2916723,	2893932,2894302,2898419,2899942,2900903,2904575,2917089,	0	SERPINB6	cmpl	cmpl	0,0,1,0,0,0,-1,
607	NR_026855	chr6	+	2987966	2991170	2936403	2936403	2	2933199,2933660,	2933264,2936403,	0	DKFZP686I15217	unk	unk	-1,-1,
607	NR_026856	chr6	+	2987966	2991170	2936403	2936403	3	2933199,2934760,2935101,	2933264,2934966,2936403,	0	DKFZP686I15217	unk	unk	-1,-1,-1,
607	NM_000904	chr6	+	2999832	3019760	2951785	2964888	7	2945065,2951700,2955257,2957776,2960762,2962116,2964711,	2945318,2951792,2955422,2957907,2960876,2962218,2964993,	0	NQO2	cmpl	cmpl	-1,0,1,1,0,0,0,
607	NM_001012983	chr6	+	3045383	3045800	2990616	2991033	1	2990616,	2991033,	0	FAM136B	cmpl	cmpl	0,
608	NM_003804	chr6	+	3076823	3115187	3022056	3058572	10	3022056,3023011,3026211,3028317,3030491,3034813,3049457,3050714,3056035,3058285,	3022220,3023168,3026349,3028546,3030641,3034890,3049548,3051284,3056188,3060420,	0	RIPK1	cmpl	cmpl	0,2,0,0,1,1,0,1,1,1,
608	NM_004332	chr6	+	3118691	3153196	3063973	3097808	7	3063924,3068889,3072474,3074277,3082594,3085618,3097720,	3064080,3068993,3072641,3074431,3082726,3085742,3098429,	0	BPHL	cmpl	cmpl	0,2,1,0,1,1,2,
